region,highest_match,similarity
Gulu District,['Gulu'],47.05882352941176
Ngora District,['Lake Victoria' 'Nakapiripirit'],44.44444444444444
Kaabong District,['Lake Victoria' 'Nakapiripirit'],41.379310344827594
Apac District,['Apac'],47.05882352941176
Ibanda District,['Lake Victoria' 'Nakapiripirit'],42.85714285714286
Agago District,['Lake Victoria'],44.44444444444444
Moyo District,['Moyo'],47.05882352941176
Abim District,['Lake Victoria' 'Nakapiripirit'],38.46153846153846
Alebtong District,['Lake Victoria'],40.0
Mitooma District,['Lake Victoria'],41.379310344827594
Kyankwanzi District,['Nakapiripirit'],50.0
Amolatar District,['Nakapiripirit'],46.666666666666664
Manafwa District,['Lake Victoria' 'Nakapiripirit'],41.379310344827594
Amudat District,['Lake Victoria'],42.85714285714286
Budaka District,['Lake Victoria' 'Nakapiripirit'],50.0
Arua District,['Arua'],47.05882352941176
Amuru District,['Rukungiri'],43.47826086956522
Amuria District,['Lake Victoria' 'Nakapiripirit'],42.85714285714286
Gomba District,['Lake Victoria'],44.44444444444444
Isingiro District,['Nakapiripirit'],40.0
Koboko District,['Lake Victoria'],42.85714285714286
Buyende District,['Bugiri'],45.45454545454546
Bukomansimbi District,['Nakapiripirit'],47.05882352941176
Bukedea District,['Lake Victoria'],48.275862068965516
Dokolo District,['Lake Victoria'],42.85714285714286
Butambala District,['Bugiri'],41.666666666666664
Bududa District,['Bugiri'],47.61904761904761
Buhweju District,['Bugiri'],45.45454545454546
Bulambuli District,['Bugiri' 'Kamuli'],41.666666666666664
Butaleja District,['Lake Victoria'],46.666666666666664
Bulisa District,['Bugiri'],47.61904761904761
Bukwo District,['Bugiri'],50.0
Namutumba District,['Nakapiripirit'],45.16129032258065
Buikwe District,['Lake Victoria'],50.0
Buvuma District,['Bugiri'],47.61904761904761
Nwoya District,['Lake Victoria' 'Nakapiripirit'],44.44444444444444
Kween District,['Lake Victoria'],44.44444444444444
Serere District,['Lake Victoria'],42.85714285714286
Rubirizi District,['Nakapiripirit'],46.666666666666664
Kiryandongo District,['Kanungu' 'Sironko'],37.03703703703704
Kaliro District,['Nakapiripirit'],50.0
Kole District,['Lake Victoria'],46.15384615384615
Maracha District,['Mbarara'],43.47826086956522
Zombo District,['Soroti'],40.0
Ntoroko District,['Soroti'],45.45454545454546
Kibuku District,['Rukungiri'],50.0
Kiruhura District,['Lake Victoria' 'Nakapiripirit'],40.0
Lwengo District,['Lake Victoria'],50.0
Oyam District,['Lake Victoria'],46.15384615384615
Kumi District,['Kumi'],47.05882352941176
Sofia City Province,['Sofia'],41.666666666666664
Ruse Province,['Ruse'],47.05882352941176
Osh Region,['Osh (city)'],50.0
Issyk-Kul Region,['Ysyk-Köl'],50.0
Chuy Region,['Chüy'],40.0
Khentii Province,['Hentiy'],36.36363636363637
Uvs Province,['Uvs'],40.0
Khövsgöl Province,['Hövsgöl'],50.0
Khovd Province,['Dornogovi'],43.47826086956522
Zavkhan Province,['Dzavhan'],43.47826086956522
Töv Province,['Ömnögovi' 'Töv'],40.0
Orkhon Province,['Orhon'],50.0
Dhofar Governorate,['Dhofar'],50.0
Muscat Governorate,['Muscat'],50.0
Sekong Province,['Vientiane'],41.666666666666664
Northern Borders Region,['Ar Riyad'],25.806451612903224
Riyadh Region,['Ar Riyad'],47.61904761904761
Eastern Province,['Najran'],27.27272727272727
Ha'il Region,['Al Madinah'],36.36363636363637
Emirate of Tabuk,['Tabuk'],47.61904761904761
Nakhchivan Autonomous Republic,['Nakhchivan'],50.0
Aghjabadi District,['Absheron'],30.76923076923077
Gədəbəy,['Absheron'],13.33333333333333
Beylagan District,['Kalbajar-Lachin'],31.25
Fizuli District,['Daglig-Shirvan'],27.586206896551722
Yardymli District,['Daglig-Shirvan'],32.25806451612904
Lerik District,['Lankaran'],27.27272727272727
Neftchala District,['Kalbajar-Lachin'],30.303030303030297
Agdam District,['Absheron'],27.27272727272727
Siazan District,['Shaki-Zaqatala'],34.48275862068966
Goychay,['Nakhchivan'],35.29411764705882
Oghuz District,['Daglig-Shirvan'],28.57142857142857
Saatly District,['Shaki-Zaqatala'],34.48275862068966
Astara District,['Aran'],31.57894736842105
Kurdamir District,['Yukhari-Karabakh'],30.303030303030297
Shabran District,['Daglig-Shirvan' 'Lankaran' 'Shaki-Zaqatala'],33.333333333333336
Imishli District,['Daglig-Shirvan'],26.66666666666667
Jabrayil District,['Kalbajar-Lachin'],31.25
Qubadli District,['Quba-Khachmaz'],34.48275862068966
Quba District,['Quba-Khachmaz'],38.46153846153846
Salyan District,['Kalbajar-Lachin'],33.333333333333336
Ismailli District,['Daglig-Shirvan'],32.25806451612904
Qabala District,['Kalbajar-Lachin'],40.0
Shaki District,['Shaki-Zaqatala'],42.85714285714286
Bilasuvar District,['Kalbajar-Lachin'],30.303030303030297
Agstafa District,['Kalbajar-Lachin'],25.806451612903224
Agdash District,['Absheron'],34.78260869565217
Shamkir District,['Shaki-Zaqatala'],40.0
Tovuz District,['Daglig-Shirvan'],21.42857142857143
Qakh District,['Nakhchivan'],34.78260869565217
Agsu District,['Absheron'],28.57142857142857
Qazakh District,['Ganja-Qazakh'],44.44444444444444
Barda District,['Kalbajar-Lachin'],27.586206896551722
Baku,['Lankaran'],33.333333333333336
Balakan District,['Kalbajar-Lachin'],38.70967741935484
Shusha,['Nakhchivan'],37.5
Jalilabad District,['Kalbajar-Lachin'],36.36363636363637
Martuni,['Lankaran'],40.0
Shusha District,['Shaki-Zaqatala'],34.48275862068966
Gobustan District,['Kalbajar-Lachin'],25.0
Khizi District,['Quba-Khachmaz'],22.22222222222222
Zangilan District,['Daglig-Shirvan'],32.25806451612904
Samukh District,['Shaki-Zaqatala'],34.48275862068966
Tartar District,['Kalbajar-Lachin'],26.66666666666667
Dashkasan District,['Lankaran'],38.46153846153846
Lachin District,['Kalbajar-Lachin' 'Nakhchivan'],40.0
Qusar District,['Yukhari-Karabakh'],33.333333333333336
Zardab District,['Shaki-Zaqatala'],27.586206896551722
Shamakhi District,['Shaki-Zaqatala'],38.70967741935484
Goranboy District,['Aran'],28.57142857142857
Khojaly District,['Kalbajar-Lachin'],32.25806451612904
Sabirabad District,['Shaki-Zaqatala'],37.5
Hajigabul District,['Daglig-Shirvan'],31.25
Yevlakh District,['Yukhari-Karabakh'],31.25
Ujar District,['Kalbajar-Lachin'],28.57142857142857
Goygol District,['Daglig-Shirvan'],27.586206896551722
Masally District,['Daglig-Shirvan'],26.66666666666667
Mingachevir,['Daglig-Shirvan'],40.0
Sumqayit,['Shaki-Zaqatala'],36.36363636363637
Bukhara Region,"[""Farg'ona""]",45.45454545454546
Fergana Region,"[""Farg'ona""]",45.45454545454546
Jizzakh Region,['Jizzax'],50.0
Zou Department,['Zou'],35.29411764705882
Mono Department,['Mono'],42.10526315789473
Donga Department,['Donga'],47.61904761904761
Ouémé Department,['Ouémé'],47.61904761904761
Northern Red Sea Region,['Semenawi Keyih Bahri'],32.55813953488372
Southern Red Sea Region,['Semenawi Keyih Bahri'],37.2093023255814
Paro District,['Paro'],47.05882352941176
Gasa District,['Gasa'],47.05882352941176
Haa District,['Haa'],40.0
Enga Province,['Enga'],47.05882352941176
Oro Province,['Morobe'],44.44444444444444
Port Moresby,['Morobe'],44.44444444444444
Amran Governorate,['Amran'],45.45454545454546
Saada Governorate,['Hadramawt'],38.46153846153846
Abyan Governorate,['Abyan'],45.45454545454546
'Adan Governorate,['`Adan'],36.36363636363637
Dhamar Governorate,['Dhamar'],50.0
Ad Dali' Governorate,"[""Al Dali'""]",50.0
Socotra Governorate,"[""San`a'""]",31.999999999999996
Ta'izz Governorate,['Ta`izz'],41.666666666666664
Sana'a Governorate,"[""San`a'""]",41.666666666666664
Ibb Governorate,['Ibb'],33.333333333333336
Raymah Governorate,['Raymah'],50.0
Hajjah Governorate,['Hajjah'],50.0
Lahij Governorate,['Lahij'],45.45454545454546
Ma'rib Governorate,"[""Ma'rib""]",50.0
Leeward Islands,['Îles Australes' 'Îles Marquises'],34.48275862068966
Marquesas Islands,['Îles Marquises'],45.16129032258065
Windward Islands,['Îles Australes' 'Îles Marquises'],26.66666666666667
Neno District,['Neno'],47.05882352941176
Dowa District,['Dowa'],47.05882352941176
Canton of Zug,['Zug'],37.5
Canton of Bern,['Sankt Gallen'],46.15384615384615
Canton of Geneva,['Sankt Gallen'],50.0
Bié Province,['Bié'],40.0
Uíge Province,['Uíge'],47.05882352941176
Azua Province,['Azua'],47.05882352941176
Elías Piña Province,['María Trinidad Sánchez'],43.90243902439024
Hermanas Mirabal Province,['María Trinidad Sánchez'],38.297872340425535
Capital District,['Distrito Capital'],43.75
Estado La Guaira,['Distrito Capital'],43.75
Central Governorate,['Capital'],30.76923076923077
Azad Kashmir,['Balochistan'],26.086956521739136
Islamabad Capital Territory,['Islamabad'],50.0
South Caribbean Coast Autonomous Region,['Chinandega'],28.57142857142857
North Caribbean Coast Autonomous Region,['Chinandega'],28.57142857142857
Boaco Department,['Boaco'],47.61904761904761
León Department,['León'],42.10526315789473
Rivas Department,['Rivas'],47.61904761904761
Panevėžys County,['Panevezio'],48.0
Međimurje County,['Medimurska'],46.15384615384615
Zadar County,['Zadarska'],50.0
Istria County,['Istarska'],47.61904761904761
Naama Province,['Naâma'],42.10526315789473
Algiers Province,['Alger'],47.61904761904761
Bouïra Province,['Bouira'],47.61904761904761
Oran Province,['Oran'],47.05882352941176
Tipasa Province,['Tiaret' 'Tipaza'],47.61904761904761
Mila Province,['Mila'],47.05882352941176
South,['Sud'],50.0
Far North Region,['Nord-Ouest'],30.76923076923077
Kyiv Oblast,['Kiev City'],50.0
Lviv Oblast,"[""L'viv""]",50.0
Olt County,['Olt'],46.15384615384615
Dakhla-Oued Ed-Dahab,['Doukkala - Abda'],45.714285714285715
Madaba Governorate,['Madaba'],50.0
Ajloun Governorate,['Ajlun'],43.47826086956522
Zarqa Governorate,['Zarqa'],45.45454545454546
Amman Governorate,['Amman'],45.45454545454546
Irbid Governorate,['Irbid'],45.45454545454546
Balqa Governorate,['Balqa'],45.45454545454546
Karak Governorate,['Karak'],45.45454545454546
Ma'an Governorate,['Ma`an'],36.36363636363637
Mafraq Governorate,['Mafraq'],50.0
Aqaba Governorate,['Aqaba'],45.45454545454546
Jerash Governorate,['Jarash'],41.666666666666664
Marj District,['Misratah'],47.61904761904761
Zawiya District,['Az Zawiyah'],48.0
Butnan District,['Al Butnan'],50.0
Kufra District,['Al Kufrah'],43.47826086956522
Ghat District,['Ghat'],47.05882352941176
Derna District,['Darnah'],40.0
Sirte District,['Misratah'],36.36363636363637
Oyo State,['Oyo'],50.0
Sud Department,['Sud-Est'],38.095238095238095
Nord Department,['Nord-Ouest'],48.0
Ouest Department,['Ouest'],47.61904761904761
Chaco,['Caazapá' 'Central'],33.333333333333336
Akita Prefecture,['Akita'],47.61904761904761
Aichi Prefecture,['Aichi'],47.61904761904761
Shiga Prefecture,['Shiga'],47.61904761904761
Osaka Prefecture,['Osaka'],47.61904761904761
Kyoto Prefecture,['Kyoto'],47.61904761904761
Chiba Prefecture,['Chiba'],47.61904761904761
Ehime Prefecture,['Ehime'],47.61904761904761
Fukui Prefecture,['Fukui'],47.61904761904761
Ōita Prefecture,['Gifu' 'Oita'],31.57894736842105
Nara Prefecture,['Nara'],42.10526315789473
Saga Prefecture,['Saga'],42.10526315789473
Kōchi Prefecture,['Kochi'],38.095238095238095
Hyōgo Prefecture,['Hyōgo'],47.61904761904761
Gunma Prefecture,['Gunma'],47.61904761904761
Gifu Prefecture,['Gifu'],42.10526315789473
Mie Prefecture,['Mie'],35.29411764705882
Iwate Prefecture,['Iwate'],47.61904761904761
La Rivière Anglaise,['Baie Sainte Anne'],45.714285714285715
Lae Atoll,['Lae'],50.0
Aur Atoll,['Aur'],50.0
Kili Island,['Ailinglaplap'],43.47826086956522
Lib Island,['Lib'],46.15384615384615
Bar Municipality,['Podgorica'],31.999999999999996
Nikšić Municipality,['Nikšic'],48.0
Budva Municipality,['Budva'],43.47826086956522
Ulcinj Municipality,['Ulcinj'],48.0
Old Royal Capital Cetinje,['Cetinje'],43.75
Berane Municipality,['Berane'],48.0
Šavnik Municipality,['Šavnik'],48.0
Rožaje Municipality,['Rožaje'],48.0
Petnjica Municipality,['Andrijevica'],31.25
Plav Municipality,['Plav'],38.095238095238095
Tivat Municipality,['Tivat'],43.47826086956522
Struga Municipality,['Struga'],48.0
Štip Municipality,['Studeničani'],42.85714285714286
Jegunovce Municipality,['Jegunovtse'],50.0
Kavadarci Municipality,['Kavadartsi'],50.0
Kočani Municipality,['Kočani'],48.0
Kičevo Municipality,['Kičevo'],48.0
Ohrid Municipality,['Ohrid'],43.47826086956522
Strumica Municipality,['Strumitsa'],46.666666666666664
Prilep Municipality,['Prilep'],48.0
Konče Municipality,['Konče'],43.47826086956522
Lozovo Municipality,['Lozovo'],48.0
Bitola Municipality,['Bitola'],48.0
Resen Municipality,['Resen'],43.47826086956522
Čaška Municipality,['Čaška'],43.47826086956522
Tearce Municipality,['Tearce'],48.0
Želino Municipality,['Želino'],48.0
Dojran Municipality,['Star Dojran'],40.0
Butel Municipality,['Brvenica'],46.15384615384615
Tetovo Municipality,['Tetovo'],48.0
Čair Municipality,['Centar župa'],42.85714285714286
Novaci Municipality,['Novatsi'],38.46153846153846
Mogila Municipality,['Mogila'],48.0
Veles Municipality,['Plasnica'],46.15384615384615
Karpoš Municipality,['Karpoš'],48.0
Saraj Municipality,['Saraj'],43.47826086956522
Vinica Municipality,['Centar župa'],40.0
Anguillita,['Sandy Hill' 'South Hill'],40.0
Aiwo District,['Aiwo'],47.05882352941176
Boe District,['Baiti'],47.05882352941176
Ewa District,['Baiti'],47.05882352941176
Ijuw District,['Ijuw'],47.05882352941176
Rose Atoll,['Eastern' 'Western'],23.529411764705888
Swains Island,['Unorganized'],33.333333333333336
Alarm Forest,['Ascension'],28.57142857142857
Sandy Bay,['Saint Helena'],47.61904761904761
Blue Hill,['Saint Helena'],28.57142857142857
Half Tree Hollow,['Saint Helena'],28.57142857142857
Levelwood,['Ascension'],22.22222222222222
Jamestown,['Ascension'],44.44444444444444
Longwood,['Ascension'],23.529411764705888
Faro District,['Faro'],47.05882352941176
Beja District,['Beja'],47.05882352941176
Lisbon District,['Lisboa'],47.61904761904761
Bay Islands Department,['Islas de la Bahía'],41.02564102564102
Colón Department,['Colón'],47.61904761904761
Copán Department,['Copán'],47.61904761904761
Valle Department,['Valle'],47.61904761904761
Yoro Department,['Yoro'],42.10526315789473
Santo Antão,['Santa Catarina'],48.0
Fogo,['São Domingos'],37.5
Petite Martinique,['Saint Mark'],44.44444444444444
Oio Region,['Oio'],46.15384615384615
Anjouan,['Nzwani'],30.76923076923077
Grande Comore,['Nzwani'],21.052631578947366
Călărași District,['Transnistria'],48.275862068965516
Căușeni District,['Causeni'],43.47826086956522
Ocnița District,['Ocniţa'],47.61904761904761
Edineț District,['Edineţ'],47.61904761904761
Thessaly,['Thessaly and Central Greece'],45.714285714285715
Ionian Islands Region,['Macedonia and Thrace'],48.78048780487805
North Aegean Region,['Aegean'],48.0
Epirus Region,['Epirus and Western Macedonia'],48.78048780487805
Beheira Governorate,['Al Bahr al Ahmar'],34.285714285714285
Red Sea Governorate,"[""Shamal Sina'""]",32.25806451612904
Monufia Governorate,['Al Minufiyah'],38.70967741935484
Suez Governorate,"[""Janub Sina'""]",29.629629629629626
Ismailia Governorate,['Al Isma`iliyah'],47.05882352941176
Asyut Governorate,['Asyut'],45.45454545454546
Minya Governorate,['Al Minya'],40.0
South Sinai Governorate,"[""Shamal Sina'""]",40.0
Aswan Governorate,['Aswan'],45.45454545454546
Kafr el-Sheikh Governorate,['Kafr ash Shaykh'],43.90243902439024
New Valley Governorate,['Al Buhayrah'],30.303030303030297
Dakahlia Governorate,['Ad Daqahliyah'],42.42424242424242
Cairo Governorate,['Al Qahirah'],29.629629629629626
Giza Governorate,['Qina'],30.000000000000004
Alexandria Governorate,['Al Iskandariyah'],43.24324324324324
Gharbia Governorate,['Al Gharbiyah'],45.16129032258065
Qalyubia Governorate,['Al Qalyubiyah'],48.484848484848484
North Sinai Governorate,"[""Shamal Sina'""]",34.285714285714285
Faiyum Governorate,['Al Fayyum'],37.03703703703704
Luxor Governorate,['Bur Sa`id'],30.76923076923077
Beni Suef Governorate,['Bani Suwayf'],43.75
Port Said Governorate,['Bur Sa`id'],40.0
Damietta Governorate,"[""Shamal Sina'""]",37.5
Sohag Governorate,"[""Shamal Sina'""]",41.379310344827594
Qena Governorate,['Al Qahirah'],30.76923076923077
Lower Silesian Voivodeship,['Lubelskie'],34.285714285714285
Greater Poland Voivodeship,['Podlaskie'],34.285714285714285
Lesser Poland Voivodeship,['Podlaskie'],35.29411764705882
West Pomeranian Voivodeship,['Pomorskie'],33.333333333333336
Kuyavian-Pomeranian Voivodeship,['Kujawsko-Pomorskie'],40.816326530612244
Silesian Voivodeship,['Wielkopolskie'],36.36363636363637
Łódź Voivodeship,['Łódzkie'],43.47826086956522
Pomeranian Voivodeship,['Pomorskie'],38.70967741935484
Masovian Voivodeship,['Małopolskie' 'Mazowieckie'],38.70967741935484
Lublin Voivodeship,['Lubelskie'],44.44444444444444
Opole Voivodeship,['Opolskie'],48.0
Basque Autonomous Country,['Islas Canarias'],30.76923076923077
Balearic Islands,['Islas Baleares'],46.666666666666664
Navarre,['Islas Baleares'],38.095238095238095
Riau Islands,['Riau'],50.0
East Java,['Jakarta Raya'],47.61904761904761
West Java,['Sulawesi Barat' 'Sulawesi Utara'],43.47826086956522
Central Java,['Sumatera Barat' 'Sumatera Utara'],46.15384615384615
Aysén Region,['Los Ríos'],40.0
O'Higgins,['Santiago Metropolitan'],26.66666666666667
Ica Region,['Ica'],46.15384615384615
North Denmark Region,['Syddanmark'],33.333333333333336
Capital Region of Denmark,['Syddanmark'],34.285714285714285
Region of Southern Denmark,['Syddanmark'],33.333333333333336
Central Denmark Region,['Syddanmark'],37.5
Region Zealand,['Midtjylland' 'Nordjylland'],40.0
Kyrenia District,['Larnaca'],34.78260869565217
Lefkoşa District,['Larnaca'],34.78260869565217
Loja Province,['Zamora Chinchipe'],48.275862068965516
Napo Province,['Zamora Chinchipe'],48.275862068965516
Lower Austria,['Oberösterreich'],44.44444444444444
Upper Austria,['Oberösterreich'],44.44444444444444
Carinthia,['Kärnten'],37.5
Styria,['Steiermark'],50.0
Basra Governorate,['Al-Basrah'],38.46153846153846
Najaf Governorate,['An-Najaf'],40.0
Kirkuk Governorate,['Ninawa'],25.0
Al Anbar Governorate,['Al-Anbar'],50.0
Erbil Governorate,['Arbil'],36.36363636363637
Wasit Governorate,['Wasit'],45.45454545454546
Saladin Governorate,['Sala ad-Din'],46.666666666666664
Babylon Governorate,['Babil'],33.333333333333336
Dhi Qar Governorate,['Dhi-Qar'],46.15384615384615
Dohuk Governorate,['Dihok'],27.27272727272727
Diyala Governorate,['Diyala'],50.0
Halabja Governorate,['Sala ad-Din'],33.333333333333336
Maysan Governorate,['Maysan'],50.0
Nineveh Governorate,['Ninawa'],31.999999999999996
South Moravian Region,['Moravskoslezský'],33.333333333333336
Central Bohemian Region,['Kraj Vysočina'],33.333333333333336
Moravian-Silesian Region,['Moravskoslezský'],41.02564102564102
Zlín Region,['Zlínský'],44.44444444444444
South Bohemian Region,['Středočeský'],25.0
Plzeň Region,['Plzeňský'],50.0
Hradec Králové Region,['Královéhradecký'],44.44444444444444
Ústí nad Labem Region,['Ústecký'],28.57142857142857
Southern District,['Tel Aviv'],24.0
Central District,['Tel Aviv'],33.333333333333336
Northern District,['Tel Aviv'],24.0
Cordillera Administrative Region,['Camarines Norte'],38.297872340425535
Autonomous Region in Muslim Mindanao,['Maguindanao'],38.297872340425535
Central Luzon,['Oriental Mindoro'],48.275862068965516
Soccsksargen,['Sorsogon'],50.0
Žilina Region,['Žilinský'],47.61904761904761
Trnava Region,['Trnavský'],47.61904761904761
Košice Region,['Košický'],50.0
Mahdia Governorate,['Mahdia'],50.0
Ariana Governorate,['Ariana'],50.0
Kef Governorate,['Bizerte'],36.36363636363637
Nabeul Governorate,['Nabeul'],50.0
Medenine Governorate,['Médenine'],50.0
Sousse Governorate,['Sousse'],50.0
Tozeur Governorate,['Tozeur'],50.0
Tunis Governorate,['Tunis'],45.45454545454546
Gafsa Governorate,['Gafsa'],45.45454545454546
Kebili Governorate,['Kebili'],50.0
Manouba Governorate,['Manubah'],46.15384615384615
Gabès Governorate,['Gabès'],45.45454545454546
Lower Saxony,['Bayern' 'Berlin'],33.333333333333336
Saxony,['Sachsen'],46.15384615384615
Hanoi,['Hà Giang'],46.15384615384615
Aosta Valley,['Toscana'],42.10526315789473
Brussels-Capital Region,['Bruxelles'],43.75
Flemish Region,['Vlaanderen'],33.333333333333336
Federal District,['Distrito Federal'],43.75
Alsace,['Île-de-France'],42.10526315789473
Languedoc-Roussillon,['Nouvelle-Aquitaine'],31.57894736842105
Midi-Pyrenees,['Île-de-France'],38.46153846153846
Nord-Pas-de-Calais,['Pays de la Loire'],47.05882352941176
Champagne-Ardenne,['Île-de-France'],40.0
Picardie,['Normandie' 'Occitanie'],47.05882352941176
Poitou-Charentes,['Occitanie'],40.0
Limousin,['Corse' 'Nouvelle-Aquitaine'],30.76923076923077
Abidjan Autonomous District,['Abidjan'],41.17647058823529
Lacs District,['Lacs'],47.05882352941176
Salto Department,['Salto'],47.61904761904761
Rocha Department,['Rocha'],47.61904761904761
Petén Department,['Petén'],47.61904761904761
Lomas turbas,['San Marcos' 'Santa Rosa'],36.36363636363637
Vas County,['Vas'],46.15384615384615
Distrito Especial,['Antioquia' 'Risaralda'],38.46153846153846
Beirut Governorate,['Beirut'],50.0
North Governorate,['North'],45.45454545454546
Beqaa Governorate,['Baalbak - Hermel'],42.42424242424242
South Governorate,['Mount Lebanon'],46.666666666666664
Niassa Province,['Nassa'],50.0
Gaza Province,['Gaza'],47.05882352941176
Tete Province,['Tete'],47.05882352941176
Moka District,['Moka'],47.05882352941176
Lac Region,['Lac'],46.15384615384615
North District,[],
Tai Po District,[],
Tuen Mun District,[],
Yau Tsim Mong District,[],
Kwun Tong District,[],
Central and Western District,[],
Wan Chai District,[],
Southern District,[],
Hong Kong,[],
Tsuen Wan District,[],
Kwai Tsing District,[],
Sha Tin District,[],
Wong Tai Sin District,[],
Yuen Long District,[],
Kowloon City District,[],
Eastern District,[],
Sham Shui Po District,[],
Islands District,[],
Northwestern Region,['Norðurland eystra' 'Norðurland vestra'],38.888888888888886
Southern Region,['Suðurnes'],43.47826086956522
Northeastern Region,['Norðurland eystra' 'Norðurland vestra'],38.888888888888886
Westfjords,['Vestfirðir' 'Vesturland'],50.0
Capital Region,['Austurland' 'Vesturland'],25.0
Western Region,['Vestfirðir' 'Vesturland'],41.666666666666664
Southern Peninsula Region,['Norðurland eystra' 'Norðurland vestra'],38.095238095238095
West Coast Division,['Western'],38.46153846153846
Central River Division,['Lower River' 'Upper River'],48.484848484848484
San Blas,['Kuna Yala'],47.05882352941176
Takéo Province,['Takêv'],42.10526315789473
Battambang Province,['Batdâmbâng'],48.275862068965516
Siem Reap Province,['Siemréab'],38.46153846153846
Sihanoukville Province,['Krong Preah Sihanouk'],38.095238095238095
Ratanakiri Province,['Rôtânôkiri'],48.275862068965516
Kratié Province,['Krong Pailin'],44.44444444444444
Pursat Province,['Pouthisat'],41.666666666666664
Kandal Province,['Kândal'],47.61904761904761
Kampong Speu Province,['Kâmpóng Spœ'],50.0
Mondulkiri Province,['Môndól Kiri'],46.666666666666664
Kampot Province,['Krong Pailin'],44.44444444444444
Kep Province,['Krong Pailin'],41.666666666666664
Cayo District,['Cayo'],47.05882352941176
Lower Sava Statistical Region,['Jugovzhodna Slovenija'],31.999999999999996
Carinthia Statistical Region,['Jugovzhodna Slovenija'],28.57142857142857
Coastal–Karst Statistical Region,['Jugovzhodna Slovenija'],26.415094339622648
Central Sava Statistical Region,['Savinjska'],30.000000000000004
Littoral–Inner Carniola Statistical Region,['Jugovzhodna Slovenija'],25.396825396825395
Central Slovenia Statistical Region,['Jugovzhodna Slovenija'],39.28571428571429
Upper Carniola Statistical Region,['Jugovzhodna Slovenija'],25.92592592592593
Drava Statistical Region,['Jugovzhodna Slovenija'],31.11111111111111
Southeast Slovenia Statistical Region,['Jugovzhodna Slovenija'],41.379310344827594
Goriška Statistical Region,['Goriška'],42.42424242424242
Mura Statistical Region,['Jugovzhodna Slovenija'],31.818181818181824
Savinja Statistical Region,['Savinjska'],45.714285714285715
North Karelia,['Southern Finland'],41.379310344827594
Pirkanmaa,['Eastern Finland' 'Lapland' 'Western Finland'],25.0
Kainuu,['Oulu'],40.0
Central Ostrobothnia,['Eastern Finland' 'Western Finland'],40.0
Satakunta,['Lapland'],37.5
Etelä-Savo,['Eastern Finland'],40.0
Pohjois-Savo,['Southern Finland'],28.57142857142857
Kymenlaakso,['Eastern Finland' 'Western Finland'],30.76923076923077
Tavastia Proper,['Eastern Finland'],33.333333333333336
Ostrobothnia,['Eastern Finland' 'Western Finland'],44.44444444444444
Uusimaa,['Lapland'],28.57142857142857
Northern Ostrobothnia,['Southern Finland'],48.64864864864865
Päijät-Häme,['Eastern Finland' 'Western Finland'],15.384615384615385
Penghu,['Taichung'],28.57142857142857
Pingtung County,['Taichung'],34.78260869565217
Kinmen,['Tainan'],50.0
